,ANO_EJE,MES_EJE,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE,SEC_FUNC,PROGRAMA_PPTO,PROGRAMA_PPTO_NOMBRE,TIPO_ACT_PROY,PRODUCTO_PROYECTO,PRODUCTO_PROYECTO_NOMBRE,ACTIVIDAD_ACCION_OBRA,ACTIVIDAD_ACCION_OBRA_NOMBRE,FUNCION,FUNCION_NOMBRE,DIVISION_FUNCIONAL,DIVISION_FUNCIONAL_NOMBRE,GRUPO_FUNCIONAL,GRUPO_FUNCIONAL_NOMBRE,META,FINALIDAD,META_NOMBRE,DEPARTAMENTO_META,DEPARTAMENTO_META_NOMBRE,FUENTE_FINANC,FUENTE_FINANC_NOMBRE,RUBRO,RUBRO_NOMBRE,TIPO_RECURSO,TIPO_RECURSO_NOMBRE,CATEG_GASTO,CATEG_GASTO_NOMBRE,TIPO_TRANSACCION,GENERICA,GENERICA_NOMBRE,SUBGENERICA,SUBGENERICA_NOMBRE,SUBGENERICA_DET,SUBGENERICA_DET_NOMBRE,ESPECIFICA,ESPECIFICA_NOMBRE,ESPECIFICA_DET,ESPECIFICA_DET_NOMBRE,MONTO_PIA,MONTO_PIM,MONTO_CERTIFICADO,MONTO_COMPROMETIDO_ANUAL,MONTO_COMPROMETIDO,MONTO_DEVENGADO,MONTO_GIRADO
36778,2020,0,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MANCOMUNIDAD MUNICIPAL VRAEM DEL NORTE - NORVRAEM,350054,54,MANCOMUNIDAD MUNICIPAL VRAEM DEL NORTE - NORVRAEM,12,JUNIN,6,SATIPO,4,JUNIN,2,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,16,GESTION DE RIESGOS Y EMERGENCIAS,36,ATENCION INMEDIATA DE DESASTRES,1,180107,ATENCION DE ENFERMEDADES TRANSMISIBLES,12,JUNIN,4,DONACIONES Y TRANSFERENCIAS,13,DONACIONES Y TRANSFERENCIAS,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,2,CONTRATACION DE SERVICIOS,7,SERVICIOS PROFESIONALES Y TECNICOS,11,OTROS SERVICIOS,99,SERVICIOS DIVERSOS,0,63175,0.0,0.0,0.0,0.0,0.0
36779,2020,0,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MANCOMUNIDAD MUNICIPAL VRAEM DEL NORTE - NORVRAEM,350054,54,MANCOMUNIDAD MUNICIPAL VRAEM DEL NORTE - NORVRAEM,12,JUNIN,6,SATIPO,4,JUNIN,2,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,16,GESTION DE RIESGOS Y EMERGENCIAS,36,ATENCION INMEDIATA DE DESASTRES,1,180107,ATENCION DE ENFERMEDADES TRANSMISIBLES,12,JUNIN,4,DONACIONES Y TRANSFERENCIAS,13,DONACIONES Y TRANSFERENCIAS,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,99,COMPRA DE OTROS BIENES,1,COMPRA DE OTROS BIENES,99,OTROS BIENES,0,31218,0.0,0.0,0.0,0.0,0.0
36780,2020,5,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,A,SUB CUENTA - FONCOMUN,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,99,COMPRA DE OTROS BIENES,1,COMPRA DE OTROS BIENES,99,OTROS BIENES,0,0,0.0,0.0,6000.0,6000.0,6000.0
36781,2020,3,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,8,SUMINISTROS MEDICOS,2,"MATERIAL,INSUMOS,INSTRUMENTAL Y ACCESORIOS MEDICOS,QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",0,0,1000.0,1000.0,0.0,0.0,0.0
36782,2020,0,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,99,COMPRA DE OTROS BIENES,1,COMPRA DE OTROS BIENES,99,OTROS BIENES,0,6000,0.0,0.0,0.0,0.0,0.0
36783,2020,5,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,99,COMPRA DE OTROS BIENES,1,COMPRA DE OTROS BIENES,99,OTROS BIENES,0,0,6000.0,6000.0,0.0,0.0,0.0
36784,2020,3,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,A,SUB CUENTA - FONCOMUN,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,8,SUMINISTROS MEDICOS,2,"MATERIAL,INSUMOS,INSTRUMENTAL Y ACCESORIOS MEDICOS,QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",0,0,0.0,0.0,1000.0,1000.0,1000.0
36785,2020,0,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,17,68,REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES,ACTIVIDAD,3000734,CAPACIDAD INSTALADA PARA LA PREPARACION Y RESPUESTA FRENTE A EMERGENCIAS Y DESASTRES,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",5,ORDEN PUBLICO Y SEGURIDAD,16,GESTION DE RIESGOS Y EMERGENCIAS,36,ATENCION INMEDIATA DE DESASTRES,1,290411,ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19,15,LIMA,1,RECURSOS ORDINARIOS,0,RECURSOS ORDINARIOS,0,RECURSOS ORDINARIOS,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,1,ALIMENTOS Y BEBIDAS,1,ALIMENTOS Y BEBIDAS,1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,0,50000,0.0,0.0,0.0,0.0,0.0
36786,2020,3,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,16,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,3999999,SIN PRODUCTO,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",20,SALUD,43,SALUD COLECTIVA,94,CONTROL EPIDEMIOLOGICO,1,290094,MEDIDAS DE CONTROL DE INFECCIONES Y BIOSEGURIDAD EN LOS SERVICIOS DE SALUD,15,LIMA,5,RECURSOS DETERMINADOS,7,FONDO DE COMPENSACION MUNICIPAL,A,SUB CUENTA - FONCOMUN,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,8,SUMINISTROS MEDICOS,1,PRODUCTOS FARMACEUTICOS,99,OTROS PRODUCTOS SIMILARES,0,0,0.0,0.0,2000.0,2000.0,2000.0
36787,2020,4,M,GOBIERNOS LOCALES,0,GOBIERNO LOCAL,0,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,301344,6,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,15,LIMA,7,HUAROCHIRI,6,LIMA,17,68,REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES,ACTIVIDAD,3000734,CAPACIDAD INSTALADA PARA LA PREPARACION Y RESPUESTA FRENTE A EMERGENCIAS Y DESASTRES,5006269,"PREVENCIÓN, CONTROL, DIAGNÓSTICO Y TRATAMIENTO DE CORONAVIRUS",5,ORDEN PUBLICO Y SEGURIDAD,16,GESTION DE RIESGOS Y EMERGENCIAS,36,ATENCION INMEDIATA DE DESASTRES,1,290411,ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19,15,LIMA,1,RECURSOS ORDINARIOS,0,RECURSOS ORDINARIOS,19,SUBCUENTA - CANASTA BASICA FAMILIAR -COVID 19,5,GASTO CORRIENTE,2,3,BIENES Y SERVICIOS,1,COMPRA DE BIENES,1,ALIMENTOS Y BEBIDAS,1,ALIMENTOS Y BEBIDAS,1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,0,0,0.0,0.0,50000.0,50000.0,50000.0
