index,reclat,reclong
0,0.000000,0.000000
1,-8.094825,-79.032371
2,-6.227156,-77.866650
3,0.000000,0.000000
4,-8.111678,-79.028774
5,-8.109806,-79.016412
6,-8.103677,-79.043922
7,-8.010527,-78.768230
8,-8.106142,-79.030722
9,-8.099376,-79.056628
10,-8.092482,-79.021631
11,-8.076205,-79.055264
12,-8.076205,-79.055264
13,0.000000,0.000000
14,0.000000,0.000000
15,-8.111678,-79.028774
16,0.000000,0.000000
17,-8.109445,-79.036953
18,-8.107102,-79.020304
19,0.000000,0.000000
20,0.000000,0.000000
21,-8.076793,-79.117728
22,-8.080099,-79.000289
23,0.000000,0.000000
24,-8.111678,-79.028774
25,-8.166323,-79.020990
26,-8.111678,-79.028774
27,-8.140652,-79.048100
28,0.000000,0.000000
29,0.000000,0.000000
30,-8.111678,-79.028774
31,0.000000,0.000000
32,-8.096554,-79.048302
33,-8.111327,-79.009882
34,-8.115498,-79.032554
35,0.000000,0.000000
36,-8.114485,-79.024326
37,-8.128676,-79.032122
38,-8.111678,-79.028774
39,-8.132002,-79.044840
40,0.000000,0.000000
41,-8.111678,-79.028774
42,0.000000,0.000000
43,0.000000,0.000000
44,0.000000,0.000000
45,0.000000,0.000000
46,-8.011900,-78.768653
47,-8.052696,-79.050268
48,-8.111678,-79.028774
49,-8.111678,-79.028774
50,-8.115498,-79.032554
51,-8.138994,-79.049986
52,-8.109402,-79.025742
53,-8.107504,-79.024073
54,-8.110698,-79.028272
55,-8.103364,-79.032304
56,-8.114485,-79.024326
57,-8.111678,-79.028774
58,-8.057073,-79.045322
59,-12.137716,-76.961519
60,-8.011900,-78.768653
61,-8.094148,-79.025874
62,-8.111678,-79.028774
63,-8.111512,-79.004478
64,-8.115498,-79.032554
65,-8.095905,-79.043813
66,0.000000,0.000000
67,-17.997350,-70.241735
68,-18.011386,-70.244892
69,-18.013870,-70.251160
70,-8.385186,-74.530364
71,0.000000,0.000000
72,-18.013870,-70.251160
73,-17.997350,-70.241735
74,-18.013870,-70.251160
75,-18.004677,-70.231890
76,-18.013870,-70.251160
77,-18.013870,-70.251160
78,-17.997350,-70.241735
79,-18.007060,-70.250212
80,-18.013870,-70.251160
81,0.000000,0.000000
82,-18.007060,-70.250212
83,-18.018719,-70.238486
84,0.000000,0.000000
85,-17.990106,-70.244591
86,-17.990106,-70.244591
87,-18.032405,-70.274198
88,-18.018719,-70.238486
89,-18.032405,-70.274198
90,-18.013870,-70.251160
91,-8.385186,-74.530364
92,-17.997350,-70.241735
93,-18.013870,-70.251160
94,-18.036460,-70.279017
95,-18.004677,-70.231890
96,-18.032405,-70.274198
97,-18.013870,-70.251160
98,0.000000,0.000000
99,-18.024071,-70.261112
100,-18.013870,-70.251160
101,-18.008623,-70.245206
102,-17.985886,-70.246409
103,-12.056112,-77.051225
104,-12.059672,-77.054122
105,-12.063390,-77.051951
106,-12.062014,-77.058848
107,-12.058944,-77.045667
108,-12.058944,-77.045667
109,-12.063985,-77.055028
110,-12.065392,-77.053599
111,-12.063390,-77.051951
112,0.000000,0.000000
113,-12.066522,-77.054190
114,-12.058131,-77.054345
115,0.000000,0.000000
116,-12.054112,-77.050657
117,0.000000,0.000000
118,-12.058500,-77.052249
119,-12.059572,-77.046325
120,-12.064384,-77.058164
121,-12.059700,-77.050119
122,-12.052445,-77.048466
123,-12.052850,-77.044980
124,-12.056370,-77.043879
125,-12.055472,-77.042982
126,-18.197403,-70.496689
127,-18.197403,-70.496689
128,-12.011864,-77.066104
129,-12.030573,-77.081908
130,-18.197403,-70.496689
131,0.000000,0.000000
132,-18.197403,-70.496689
133,-18.197403,-70.496689
134,-18.197403,-70.496689
135,-18.197403,-70.496689
136,-12.022824,-77.073570
137,-12.033599,-77.066600
138,-18.197403,-70.496689
139,0.000000,0.000000
140,0.000000,0.000000
141,-5.911586,-78.303176
142,-12.030573,-77.081908
143,-18.197403,-70.496689
144,-18.197403,-70.496689
145,-11.998852,-77.087310
146,-12.030743,-77.071249
147,-12.030743,-77.071249
148,-11.997002,-77.093657
149,-18.197403,-70.496689
150,-18.197403,-70.496689
151,-18.197403,-70.496689
152,0.000000,0.000000
153,-12.021871,-77.061462
154,-5.911586,-78.303176
155,0.000000,0.000000
156,0.000000,0.000000
157,0.000000,0.000000
158,-18.197403,-70.496689
159,-11.982987,-77.105860
160,-18.197403,-70.496689
161,-11.945420,-77.089404
162,-18.197403,-70.496689
163,0.000000,0.000000
164,-18.197403,-70.496689
165,-11.825300,-77.120611
166,-12.013821,-77.071792
167,-12.018052,-77.058520
168,-12.013783,-77.057889
169,0.000000,0.000000
170,0.000000,0.000000
171,-18.197403,-70.496689
172,-12.008830,-77.060939
173,-12.033532,-77.062700
174,0.000000,0.000000
175,-12.028674,-77.052585
176,-11.999107,-77.087716
177,0.000000,0.000000
178,-11.981310,-77.088156
179,-12.021866,-77.079513
180,-12.015020,-77.085164
181,-12.026076,-77.050027
182,0.000000,0.000000
183,-5.911586,-78.303176
184,-5.911586,-78.303176
185,-12.035851,-77.086616
186,-12.030276,-77.090563
187,-18.197403,-70.496689
188,0.000000,0.000000
189,-18.197403,-70.496689
190,-11.991109,-77.083299
191,-12.009354,-77.084611
192,-11.955025,-77.092191
193,-12.036112,-77.045405
194,0.000000,0.000000
195,-12.029131,-77.045198
196,0.000000,0.000000
197,-11.999107,-77.087716
198,-18.197403,-70.496689
199,-18.197403,-70.496689
200,0.000000,0.000000
201,-12.067912,-77.013841
202,-12.083268,-77.015975
203,0.000000,0.000000
204,-12.071537,-77.030513
205,0.000000,0.000000
206,-12.097677,-77.020060
207,-12.088740,-77.019472
208,-12.071179,-77.027453
209,-12.069168,-77.011879
210,-3.753503,-73.246891
211,-12.067912,-77.013841
212,-12.072076,-77.012443
213,-12.074717,-77.017436
214,-12.071179,-77.027453
215,0.000000,0.000000
216,-12.084900,-77.008065
217,-12.071537,-77.030513
218,0.000000,0.000000
219,-12.072434,-77.025822
220,-12.071653,-77.003897
221,0.000000,0.000000
222,-12.078372,-77.011768
223,-12.084300,-77.023457
224,0.000000,0.000000
225,-12.071179,-77.027453
226,-12.064066,-77.033465
227,0.000000,0.000000
228,-12.082718,-77.023719
229,-12.088740,-77.019472
230,-3.753503,-73.246891
231,-12.077848,-77.025755
232,-12.078372,-77.011768
233,-12.070441,-77.023930
234,-12.085956,-77.017646
235,-12.086027,-77.012758
236,-12.073358,-77.016417
237,0.000000,0.000000
238,0.000000,0.000000
239,-12.078372,-77.011768
240,-12.088740,-77.019472
241,-12.071179,-77.027453
242,-12.067912,-77.013841
243,-12.072791,-77.006140
244,-12.074717,-77.017436
