INDEX,RUC,MONTOADJUDICADO,CANTIDADADJUDICADA,reclat,reclong,PROVEEDOR,count
0,20603220103,177480.0,12240.0,0.000000,0.000000,GRIFO BRISAS DE SAN JUAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,1
1,20602348106,105093.0,4535.0,-8.094825,-79.032371,CORPORACION ALME E.I.R.L.,4
2,20602348106,114835.0,4802.0,-8.094825,-79.032371,CORPORACION ALME E.I.R.L.,4
3,20602348106,72925.0,1.0,-8.094825,-79.032371,CORPORACION ALME E.I.R.L.,4
4,20602348106,310450.0,1.0,-8.094825,-79.032371,CORPORACION ALME E.I.R.L.,4
5,20481368341,293400.0,5.0,-6.227156,-77.866650,DISTRIBUIDORA FINA SRL,4
6,20481368341,110400.0,5.0,-6.227156,-77.866650,DISTRIBUIDORA FINA SRL,4
7,20481368341,79800.0,5.0,-6.227156,-77.866650,DISTRIBUIDORA FINA SRL,4
8,20481368341,593100.0,6.0,-6.227156,-77.866650,DISTRIBUIDORA FINA SRL,4
9,20600524454,288300.0,1.0,0.000000,0.000000,DISTRIBUIDORA DE GOLOSINAS Y ABARROTES ZOE S.A.C.,3
10,20600524454,138000.0,1.0,0.000000,0.000000,DISTRIBUIDORA DE GOLOSINAS Y ABARROTES ZOE S.A.C.,3
11,20600524454,439200.0,1.0,0.000000,0.000000,DISTRIBUIDORA DE GOLOSINAS Y ABARROTES ZOE S.A.C.,3
12,20605290907,66999.6,37222.0,-8.111678,-79.028774,SUPPLY RV S.A.C.,1
13,20602391052,500000.0,6312.0,-8.109806,-79.016412,TIENDAS DEL E.I.R.L.                                                                                ,1
14,20477560068,978000.0,1.0,-8.103677,-79.043922,SERVICIOS DE LIMPIEZA TARAZONA S.A.C. - SERLIMPT S.A.C.,1
15,20482511377,100000.0,1.0,-8.010527,-78.768230,TIENDA COMERCIAL JOSE ANTONIO E.I.R.L.,5
16,20482511377,150186.6,1.0,-8.010527,-78.768230,TIENDA COMERCIAL JOSE ANTONIO E.I.R.L.,5
17,20482511377,82707.68,1487.44,-8.010527,-78.768230,TIENDA COMERCIAL JOSE ANTONIO E.I.R.L.,5
18,20482511377,41244.0,696.32,-8.010527,-78.768230,TIENDA COMERCIAL JOSE ANTONIO E.I.R.L.,5
19,20482511377,100000.0,1.0,-8.010527,-78.768230,TIENDA COMERCIAL JOSE ANTONIO E.I.R.L.,5
20,20604259194,134466.65,1.0,-8.106142,-79.030722,INGENIERIA CIVIL G & F S.A.C.,1
21,20601057302,65140.0,162850.0,-8.099376,-79.056628,INVERSIONES Y SERVICIOS BRIFABRI E.I.R.L.,1
22,20601020247,86250.0,750.0,-8.092482,-79.021631,EL DORADO GROUP E.I.R.L.,2
23,20601020247,94214.18,1.0,-8.092482,-79.021631,EL DORADO GROUP E.I.R.L.,2
24,20481030227,49998.38,1.0,-8.076205,-79.055264,ONDAC SRL,2
25,20481030227,200000.0,2000.0,-8.076205,-79.055264,ONDAC SRL,2
26,20602064728,100000.0,7.0,-8.076205,-79.055264,INVERSIONES CORIB E.I.R.L.,1
27,20481888264,99994.18,1343.0,0.000000,0.000000,REPRESENTACIONES SALDAÑA SAC,2
28,20481888264,165700.0,10000.0,0.000000,0.000000,REPRESENTACIONES SALDAÑA SAC,2
29,20604300585,50000.0,1.0,0.000000,0.000000,CORPORACION DAKRI E.I.R.L,2
30,20604300585,561288.0,160680.0,0.000000,0.000000,CORPORACION DAKRI E.I.R.L,2
31,20539897056,246580.6,425200.0,-8.111678,-79.028774,MEDILAB CAO S.A.C.,2
32,20539897056,62454.0,10.0,-8.111678,-79.028774,MEDILAB CAO S.A.C.,2
33,20440436618,100000.0,1.0,0.000000,0.000000,TIENDAS TIA S.A.C.,2
34,20440436618,128839.5,2500.0,0.000000,0.000000,TIENDAS TIA S.A.C.,2
35,20480981775,75150.0,8350.0,-8.109445,-79.036953,BAYOMED HEALTH PERU SAC,3
36,20480981775,87000.0,3000.0,-8.109445,-79.036953,BAYOMED HEALTH PERU SAC,3
37,20480981775,42000.0,20000.0,-8.109445,-79.036953,BAYOMED HEALTH PERU SAC,3
38,20603614772,75000.0,3000.0,-8.107102,-79.020304,GESMEDIC E.I.R.L.,1
39,20482447008,54644.59,9373.0,0.000000,0.000000,TRANSPORTES E INVERSIONES EDWANCAR S.A.C.,1
40,20481777942,207649.6,1.0,0.000000,0.000000,INVERSIONES COMERCIALES SUDAMERICANA S.R.L.,1
41,20604994773,59280.0,22800.0,-8.076793,-79.117728,NORFRANC S.A.C.,2
42,20604994773,38190.0,11400.0,-8.076793,-79.117728,NORFRANC S.A.C.,2
43,20602450351,200000.0,2500.0,-8.080099,-79.000289,TINDEL S.A.C.,1
44,20131529181,104640.0,32000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
45,20131529181,70294.5,3429.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
46,20131529181,120360.0,6000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
47,20131529181,113516.0,3700.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
48,20131529181,44432.0,3200.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
49,20131529181,3303729.0,46206.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
50,20131529181,60140.0,3100.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
51,20131529181,670884.0,9066.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
52,20131529181,75520.0,8000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
53,20131529181,37760.0,2000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
54,20131529181,47200.0,8000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
55,20131529181,76700.0,10000.0,0.000000,0.000000,SEGURINDUSTRIA SA,12
56,20559966445,120699.75,39000.0,-8.111678,-79.028774,EDIFICACION E INVERSIONES SANTA ROSA E.I.R.L.,1
